cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI024	08-08-11	90	59.46205484	3.139	66.526	30.058	0.67955	0.0764	0	6.715273603	15.82147441
SI026	08-10-15	100	6.605379312	3.935	82.598	21.495	0	NAN	0	0	16.6102036
SI021	08-05-14	97	92.80512622	3	66.655	24.94	NAN	NAN	0	35.13948408	15.10420078
SI028	08-12-10	85	82.8128192	NAN	NAN	NAN	NAN	0.088235294	0	4.660861686	17.28287264
SI031	09-03-11	185	2.869620038	4.9522	38.872	0.2	1.344054658	0.120173046	NAN	423.7910528	0
SI035	09-07-01	97	41.17162693	2.7346	30.509	33.413	0	0	0	7.439265647	20.49505358
SI032	09-04-08	150	2.921595113	4.4066	28.273	7.48	0	0.686315789	0	124.1962993	6.188506652
SI030	09-02-11	165	13.60249397	4.6464	24.049	9.944	NAN	0.665611814	0	41.60248468	0
SI030	09-02-11	120	91.28041592	3.6751	24.857	14.743	NAN	0.040084388	0	0	13.76796345
SI026	08-10-15	90	11.06556516	3.65	79.16	25.093	0	NAN	0	0	20.17636541
SI028	08-12-10	110	6.745495644	NAN	NAN	NAN	NAN	0.050079491	0	0	18.4387903
SI032	09-04-08	90	142.2057408	2.3606	28.266	29.178	0	0.006315789	0	0	14.97563443
SI024	08-08-11	150	8.292834684	4.367	90.252	10.881	0.705066	0.1424	0	5.935587222	10.29864136
SI030	09-02-11	60	144.9178535	2.1868	25.511	23.15	NAN	0.03164557	0	8.835526686	15.49232071
SI024	08-08-11	120	20.90537768	3.699	75.005	25.114	1.37333	0.1146	0	5.917250166	17.17806908
SI021	08-05-14	85	98.93908283	2.834	63.459	25.448	NAN	NAN	0	48.97943119	15.91881816
SI022	08-06-11	40	180.9502739	1.9035	28.756	18.2715	10.65532	NAN	0	50.4061454	11.3216591
SI030	09-02-11	110	120.847865	4.1569	27.058	21.706	NAN	0.030590717	0	0	13.17496958
SI021	08-05-14	10	244.86203	1.091	7.411	10.899	NAN	NAN	0	44.41956666	10.56056706
SI028	08-12-10	135	2.833985999	NAN	NAN	NAN	NAN	0.06836248	0	9.280843806	5.419761388
SI023	08-07-15	200	0	5.082	101.809	0	4.54374883	NAN	7.538064949	810.1589473	-0.035442205
SI023	08-07-15	150	3.732195216	3.608	91.201	1.79	2.77355372	NAN	0	159.3167322	2.072651595
SI035	09-07-01	100	31.22268097	2.5685	19.482	18.547	0	0.047131148	0	3.264403554	16.31501564
SI031	09-03-11	135	4.009229926	3.685	79.243	12.578	0	0.098834928	NAN	0	7.150944477
SI031	09-03-11	97	115.2152785	2.8556	58.638	29.465	0.049124388	0.045692185	NAN	0	17.28853857
SI027	08-11-12	20	NAN	NAN	NAN	NAN	0	0	0	35.15962182	14.28415005
SI026	08-10-15	75	69.8278447	2.953	64.689	29.83	0.430276248	NAN	0	13.49596618	21.4408524
SI023	08-07-15	185	0	4.557	99.466	0	4.49576113	NAN	8.41149313	694.3231591	0
SI024	08-08-11	85	67.48423451	3.032	65.174	30.113	0.6336	0.2292	0	8.293575739	15.72679939
SI029	09-01-14	165	3.924014613	4.4517	29.846	15.469	NAN	0.047234043	0	0	13.48910885
SI031	09-03-11	20	191.0925454	2.3441	32.502	27.686	1.289059069	0.298313397	NAN	13.22296461	12.68982804
SI030	09-02-11	185	6.464395636	4.9291	38.654	5.033	NAN	0.853375527	0	317.5914142	0
SI028	08-12-10	150	4.27292643	NAN	NAN	NAN	NAN	0.044515103	0	5.236614993	13.61595794
SI027	08-11-12	100	NAN	NAN	NAN	NAN	0	0	0	9.35531103	17.50361374
SI028	08-12-10	120	5.430513328	NAN	NAN	NAN	NAN	0.027027027	0	0	14.02981609
SI021	08-05-14	90	110.7954375	2.817	60.802	25.682	NAN	NAN	0	80.86513109	12.83163831
SI031	09-03-11	10	223.7064072	1.9052	22.379	20.116	0.815120972	0.168070574	NAN	7.971269111	14.67449411
SI038	09-10-01	110	11.65870483	3.7752	68.567	20.913	5.484069127	0.02545156	0	11.96340991	18.6129321
SI029	09-01-14	120	6.150061546	4.4077	26.065	9.67	NAN	0.014255319	0	0	5.402478128
SI027	08-11-12	85	NAN	NAN	NAN	NAN	0	0	0	19.2273003	16.29480036
SI033	09-05-01	40	NAN	2.3936	17.938	24.418	2.235297207	0.245652174	0	62.52297073	11.80688061
SI030	09-02-11	10	179.8889351	2.4937	23.54	29.764	NAN	0.129746835	0	3.994592232	12.0526704
SI036	09-08-01	85	35.26759692	3.3649	61.479	31.499	0	0	0	11.39511242	20.80417458
SI027	08-11-12	40	NAN	NAN	NAN	NAN	0	0	0	35.76750318	15.49669393
SI023	08-07-15	165	0	3.807	96.609	0.043	2.95483871	NAN	4.025364658	460.8637529	0
SI029	09-01-14	110	34.09179281	3.619	23.208	23.205	NAN	0.021702128	0	0	14.06521358
